71, 469, 0.2
71, 469, 0
43, 479, 0
43, 479, 0.2
504, 392, 0.2
504, 392, 0
494, 392, 0
494, 392, 0.2
602, 388, 0.2
602, 388, 0
594, 395, 0
594, 410, 0
608, 416, 0
616, 395, 0
616, 395, 0.2
336, 234, 0.2
336, 234, 0
336, 234, 0.2
445, 0, 0.2
445, 0, 0
459, 26, 0
490, 136, 0
437, 304, 0
416, 339, 0
414, 375, 0
427, 382, 0
443, 411, 0
445, 443, 0
455, 460, 0
448, 471, 0
466, 479, 0
540, 479, 0
517, 460, 0
519, 448, 0
491, 434, 0
501, 424, 0
493, 421, 0
503, 411, 0
498, 406, 0
507, 411, 0
510, 404, 0
512, 410, 0
512, 402, 0
499, 402, 0
482, 373, 0
499, 369, 0
487, 368, 0
491, 360, 0
486, 363, 0
485, 356, 0
496, 353, 0
499, 359, 0
505, 343, 0
497, 347, 0
453, 336, 0
459, 341, 0
444, 355, 0
424, 335, 0
474, 203, 0
477, 170, 0
492, 131, 0
458, 16, 0
458, 16, 0.2
223, 0, 0.2
223, 0, 0
189, 28, 0
177, 50, 0
165, 97, 0
171, 130, 0
160, 169, 0
142, 175, 0
21, 169, 0
0, 162, 0
0, 479, 0
23, 479, 0
51, 464, 0
64, 450, 0
221, 358, 0
224, 316, 0
210, 265, 0
191, 240, 0
179, 200, 0
168, 89, 0
184, 37, 0
184, 37, 0.2
