570, 442
581, 444
576, 448
583, 459
587, 450
597, 466
600, 452
581, 448
598, 446
56, 469
87, 457
86, 464
103, 443
61, 465
67, 439
59, 463
58, 446
15, 428
0, 427
13, 432
0, 438
0, 446
586, 404
584, 416
585, 385
586, 398
490, 381
134, 357
132, 362
81, 354
119, 366
138, 351
111, 345
104, 350
118, 343
112, 353
117, 358
137, 343
130, 340
569, 336
577, 338
105, 330
113, 334
461, 328
463, 333
161, 324
187, 332
157, 321
150, 340
563, 338
554, 335
559, 318
552, 335
481, 332
172, 318
212, 321
98, 318
86, 344
102, 349
100, 340
90, 342
29, 311
47, 343
48, 362
46, 338
475, 308
468, 334
477, 331
104, 302
98, 308
186, 299
184, 309
181, 298
174, 307
297, 289
297, 324
275, 336
288, 345
297, 326
157, 288
153, 297
168, 304
165, 288
174, 302
174, 295
182, 295
161, 282
166, 283
0, 281
0, 318
20, 313
18, 301
32, 294
23, 295
19, 283
2, 279
14, 280
12, 271
600, 257
594, 258
594, 270
229, 249
221, 255
189, 249
179, 261
189, 260
500, 248
471, 251
348, 246
360, 248
339, 245
345, 247
291, 276
273, 244
283, 265
260, 269
283, 268
282, 273
232, 279
238, 271
226, 263
228, 276
169, 281
230, 277
231, 291
251, 277
233, 238
229, 247
39, 223
62, 252
52, 227
26, 220
37, 223
1, 210
24, 219
616, 208
599, 208
577, 226
592, 219
599, 228
600, 222
587, 218
143, 207
133, 208
125, 197
104, 206
116, 212
109, 218
183, 160
164, 168
143, 165
155, 172
139, 179
416, 141
429, 134
419, 129
306, 130
319, 133
178, 127
156, 139
255, 120
257, 141
194, 168
216, 181
266, 164
269, 235
269, 190
291, 164
265, 137
260, 151
190, 120
201, 119
233, 138
247, 132
236, 137
201, 116
515, 103
273, 97
265, 135
239, 86
203, 115
241, 59
250, 112
253, 99
172, 61
183, 63
450, 59
460, 67
397, 29
380, 45
302, 82
317, 85
335, 103
364, 110
392, 95
439, 95
462, 147
448, 157
435, 145
413, 148
412, 154
439, 149
447, 158
427, 171
387, 166
384, 177
363, 158
362, 129
352, 124
340, 157
310, 195
374, 206
382, 199
376, 186
434, 212
437, 233
431, 243
444, 249
446, 274
439, 288
450, 308
450, 338
420, 390
465, 397
396, 402
344, 394
288, 366
274, 340
271, 369
284, 390
274, 424
306, 462
391, 442
415, 424
437, 423
433, 418
457, 409
452, 403
485, 389
467, 365
459, 338
461, 271
473, 271
463, 271
464, 264
484, 263
481, 277
488, 268
489, 275
494, 270
511, 277
541, 258
639, 252
551, 256
639, 249
639, 220
638, 247
557, 253
582, 225
546, 254
516, 255
504, 236
505, 220
505, 248
512, 256
489, 257
495, 264
473, 258
458, 265
469, 222
495, 222
512, 189
525, 117
523, 134
510, 147
520, 152
514, 179
509, 150
486, 170
470, 81
463, 72
448, 72
444, 62
443, 71
433, 69
485, 0
519, 53
505, 44
514, 79
524, 77
525, 115
523, 75
530, 67
639, 33
639, 0
597, 0
511, 36
277, 0
251, 24
242, 47
251, 25
