391, 409, 0.2
391, 409, 0
388, 443, 0
402, 434, 0
402, 434, 0.2
568, 392, 0.2
568, 392, 0
573, 395, 0
573, 395, 0.2
4, 295, 0.2
4, 295, 0
0, 316, 0
0, 316, 0.2
338, 263, 0.2
338, 263, 0
338, 263, 0.2
140, 236, 0.2
140, 236, 0
138, 244, 0
138, 244, 0.2
50, 229, 0.2
50, 229, 0
58, 242, 0
61, 229, 0
61, 229, 0.2
367, 219, 0.2
367, 219, 0
354, 251, 0
363, 264, 0
381, 269, 0
381, 269, 0.2
271, 217, 0.2
271, 217, 0
260, 281, 0
271, 263, 0
271, 263, 0.2
291, 148, 0.2
291, 148, 0
287, 158, 0
287, 158, 0.2
295, 138, 0.2
295, 138, 0
289, 144, 0
289, 144, 0.2
356, 96, 0.2
356, 96, 0
356, 110, 0
360, 106, 0
383, 128, 0
384, 119, 0
409, 133, 0
401, 146, 0
386, 148, 0
388, 156, 0
449, 196, 0
455, 153, 0
436, 112, 0
412, 97, 0
376, 104, 0
376, 104, 0.2
40, 95, 0.2
40, 95, 0
41, 101, 0
41, 101, 0.2
187, 0, 0.2
187, 0, 0
140, 232, 0
171, 137, 0
182, 162, 0
176, 246, 0
182, 251, 0
176, 253, 0
190, 265, 0
239, 214, 0
264, 127, 0
299, 84, 0
356, 55, 0
423, 65, 0
450, 82, 0
476, 133, 0
476, 153, 0
454, 240, 0
460, 248, 0
454, 261, 0
447, 256, 0
450, 271, 0
440, 276, 0
445, 237, 0
435, 236, 0
414, 255, 0
436, 284, 0
442, 306, 0
433, 308, 0
401, 359, 0
390, 404, 0
409, 409, 0
422, 427, 0
441, 431, 0
499, 478, 0
614, 479, 0
605, 474, 0
613, 408, 0
596, 414, 0
593, 406, 0
585, 407, 0
586, 398, 0
581, 403, 0
561, 393, 0
566, 384, 0
555, 375, 0
563, 370, 0
557, 371, 0
561, 363, 0
555, 361, 0
571, 322, 0
562, 316, 0
572, 312, 0
550, 279, 0
555, 271, 0
548, 271, 0
549, 257, 0
539, 253, 0
539, 242, 0
529, 238, 0
511, 206, 0
505, 207, 0
504, 152, 0
496, 157, 0
479, 116, 0
450, 80, 0
417, 58, 0
347, 55, 0
294, 83, 0
287, 98, 0
251, 112, 0
246, 106, 0
253, 104, 0
242, 96, 0
249, 94, 0
239, 93, 0
245, 88, 0
239, 51, 0
248, 31, 0
241, 27, 0
251, 24, 0
249, 8, 0
238, 6, 0
243, 0, 0
243, 0, 0.2
78, 0, 0.2
78, 0, 0
0, 351, 0
0, 351, 0.2
70, 0, 0.2
70, 0, 0
58, 8, 0
59, 46, 0
59, 46, 0.2
